name|reviews|star
베스트웨스턴 플러스 전주 호텔|<div class="txt">전주한옥마을 여행으로 알아보게 된 숙소<br/>가성비도 좋고 호텔도 조용하고 깨끗해서 만족합니다.<br/>관광후 늦게 도착했는데도 지하4층에는 주차 자리가 있어서 좋았어요</div>|<div class="num">10.0</div>
베스트웨스턴 플러스 전주 호텔|<div class="txt">딜라이트 패키지라서 레이트체크아웃으로 만족스럽게 쉬었다 갑니다. 룸 컨디션 훌륭합니다. 풍남문, 남부시장, 전동성당 도보로 이동 가능한 위치가 참 마음에 들었네요. 다음엔 수영장 이용하러 호캉스 와야겠어요</div>|<div class="num">10.0</div>
베스트웨스턴 플러스 전주 호텔|<div class="txt">1. 침구 상태 좋습니다. <br/>2. 개수대가 있어서 유용합니다. <br/>3. 차량등록 안 해 주셔서 불편했는데 저희뿐만 아니라 다른 차도 그런 듯. 확인하셔야 할 것 같습니다. <br/>4. 재방문 의사 있습니다.</div>|<div class="num">9.0</div>
베스트웨스턴 플러스 전주 호텔|<div class="txt">더블객실을 이용했습니다. 다른호텔에<br/>비해 침대가 조금 좁은편인거 같아요<br/>화장실 샤워실도 좁은편입니다.<br/>나머지는 다 좋았어요^^</div>|<div class="num">10.0</div>
베스트웨스턴 플러스 전주 호텔|<div class="txt">좋아요 룸컨디션도 좋았어요. 침대도 폭신해서 잠도 잘왔어요. 한옥마을이랑 걸어서10분 정도라 몇번와따가따 했어요 그리고 근처 전일갑오가 있어서 좀더 플리스요인 ㅋ 잘묵었습니다</div>|<div class="num">10.0</div>
베스트웨스턴 플러스 전주 호텔|<div class="txt">괜찮았어요 주차자리는 좀 부족하지만 만족</div>|<div class="num">10.0</div>
베스트웨스턴 플러스 전주 호텔|<div class="txt">여자친구랑 잘 쉬다갑니다</div>|<div class="num">10.0</div>
베스트웨스턴 플러스 전주 호텔|<div class="txt">대체적으로 깔끔하고 조용했어요.<br/>2박했는데, 청소도 깔끔하게 해주시고 물도 채워주시고 침구정리도 잘해주셔서 기분 좋게 이용할 수 있었어요.<br/>생각보다는 객실이 크진 않았지만 창문이 있어서 덜 답답했어요. 침대에 누워있으면 에어컨 바람이 바로 와서 좀 건조했는데.. 그것빼곤 만족했어요.<br/>조식은 종류가 많진 않네요.<br/>한옥마을까지 걸어갔는데 생각보다 걸을만 해요~<br/>영화관도 가까워서 심야영화도 보고 괜찮았어요.<br/>전주여행 잘 하고 갑니다.</div>|<div class="num">8.0</div>
베스트웨스턴 플러스 전주 호텔|<div class="txt">두개의방이 연결된 곳이여서 다섯가족 편하게 잘지냈어요<br/>깨끗하고 편리해서 좋았는데 호텔내 수영장 이용공지를 <br/>따로누르지않아도 보이게있으면 좋을것같아요  다이용가능<br/>한게아니라 이벤트성숙소 로 이용가능한걸 제가 늦게확인해서 ㅜ<br/>미리신청못해 아이가 너무아쉬워해서 속상하더라구요<br/>부대시설에 수영장 이용관련 내용좀 추가하면 좋을것같아요<br/>그리고 냉장고가 너무 너무 너무 안시원해서<br/>당황스럽.....ㅜㅜ 그것말고는 괜찮았어요 조식도 간편하게 아이들이 잘먹어서 좋았어요 한옥마을 도보로 이용가능할정도이긴하나 여름에는 너무 덥고 습해서 비추에요 선선한 날씨는 괜찮을것같아요</div>|<div class="num">10.0</div>
베스트웨스턴 플러스 전주 호텔|<div class="txt">예약시 날짜선택을 잘못해서 취소수수료발생상황에서. 친절히 방법 알려주시고 해결해주셔서 감사했습니다~<br/><br/>방은 엄청 크지는 않았지만 쉬었다오기 매우 좋았습니다.<br/>너무 더운날씨에 저녁먹으러 나가기 부담스러웠는데 배달주문음식도 가능해서 정말 큰 도움을 받았습니다!!^^"<br/><br/>대부분의 방이 3인이어서 4인 이용을 위해 첨으로 커넥팅룸을 이용했습니다만, 커넥팅룸 첫이용인 아이들이 너무 좋아했어요~!!.<br/><br/>참. 커넥팅 룸 중 한쪽방의 화장실(샤워실)안에 뭐가문제인지모르겠지만 계속 소리가 납니다. 꼭 시계소리가 크게나는것같은 느낌의 소리였습니다.<br/>소리에 민감해서 시계도 전자 꼬는 무음만 사용하는 편이라 새벽에 소리때문에 좀 잠을 설쳤네요.<br/>이건 다음사용자를 위해서도 수리가 되면 좋겠습니다~(415호입니다.)</div>|<div class="num">10.0</div>
