name|reviews|star
쏠비치 진도 리조트 |<div class="txt">작년에 방문하고 두번째 왔는데 작년보다 화장실은 그나마 좀 더 깨끗했어요!<br/>그래도 야경도 너무 멋지고 소삼도도 생각보다 더 좋았어요!</div>|<div class="num">8.6</div>
쏠비치 진도 리조트 |<div class="txt">진도 쏠비치 너무 청결하고 친절하고 깔끔해서 넘 좋았어요 근처 편의점이 없었는데 가격은 다소 있지만 편의점도 지하에 있어서 이용하기도 편했고 먹거리도 틈틈이 있어서 좋았습니다 무엇보다 진도쏠비치하면 야경경치인데 진짜 밤에는 너무 이쁘고 사진찍을곳도 많아서 아이들과 밤늦게까지 야경보며 사진찍고 놀았네요 가격대비 다른곳 보다 저렴해서 여기어때에서 예약했는데 탁월한 선택이였어요</div>|<div class="num">10.0</div>
쏠비치 진도 리조트 |<div class="txt">진도쏠비치는 2박3일 이면 딱 좋을 일정이었습니다<br/> 멀었지만 경치가 너무 좋았고 쏠비치 내에 시설도 만족해요 다만 오션뷰는 현장에서 추가요금을 내던데 예약할깨 정해서 가면 참 좋았겠다싶어요.<br/>다만 제가 기분이 엄청 안좋았던곤 저는 여기어때에  2월에 얼리버드로 예약했는데 세상에  제가 가기로 한 전날 가격이 더 싸지고 수영장도 2인무료라는 옵션이 생겨서 일찍 예약한 보람이 하나도 없고 기분이 나빴어요...</div>|<div class="num">10.0</div>
쏠비치 진도 리조트 |<div class="txt">휴가기간이라 힘들게 잡은 숙소였어요<br/>2가족+반려견까지 너무 편하게 잘 쉬고 놀고 왔네요<br/>청결하고 깨끗해서 너무 좋았어요<br/>너무 멀었지만 부대시설까지 완벽한 곳이었네요<br/>이틀 비가 내렸지만<br/>비가 와도 운치있고 실내통로로 이동하다보니<br/>나쁘지 않았어요<br/>콘도형이니 밀키트등으로 한끼 해결하고<br/>또 리조트내 식당도 다소 비싸기는 했지만<br/>나쁘지 않았어요<br/>인피니트풀 지하에 게임장 노래방 다 좋아요</div>|<div class="num">10.0</div>
쏠비치 진도 리조트 |<div class="txt">기대를 품고 강원도 원주에서 5시간 30분을 달려갔어요<br/>야경도 인피니티 풀장도 기대를 충족시켜 주었어요<br/>아쉬운 것은 조식은 기대 이하였구요</div>|<div class="num">10.0</div>
쏠비치 진도 리조트 |<div class="txt">시설이나 뷰는 진짜 좋은데 배정받은 객실이 애완견 동반가능 객실이라 강아지 냄새가 좀 났어요.. 바닥도 조금 찝찝했구요</div>|<div class="num">6.0</div>
쏠비치 진도 리조트 |<div class="txt">기대이상입니다.<br/>야경은 정말 최고<br/>조식은 조금 아쉽네요</div>|<div class="num">10.0</div>
쏠비치 진도 리조트 |<div class="txt">가족 단위로는 가기가 좋습니다 하지만 아이들과 물놀이 할려고 오는곳은 정말 비추입니다 물 온도 이 더운데 너무 뜨겁습니다 기본 28도 맞춘다 하던데  이더위에 온도도 자연히 올라갈거고 사람이 들어가 있는데 그 온도까지 온천 생각하시고 가시면 될거 같습니다 시원한 물놀이 없습니다 그늘 될만한곳도 없고 완전 찝니다. 그리고 안에 먹거리 다 냉동 입니다 기본 4-5천원 입니다 바가지 제대로 입니다 냉동식품 팔면서 장난 아닙니다 그리고 선베드나 카바나도 시간이 정해져 있습니다 3시간에 4만원 (선베드 가격) 오후권 따로 야간권 따로 ;;; 쏠비치내 식당 주류 기본 6천원 입니다 그냥 진짜  야경 뷰 말고는  나머진 다 아깝습니다 뷰에 돈 안아깝다 생각 드시는 분들 이용하시면 딱 좋을거 같습니다. 개인적으로는 가족단위 가기 좋긴하지만 다른 놀이 이용하는건 전혀 없다 특히 물놀이 ㅈㅈ 네요  방값 말고 수영장도 입장료 다 내고 안에서 먹는거 먹는다 치고 50정도 더 들은듯 합니다 1박했는데 돈 많이깨지네요 하루자는데 방값 기름값 이용비 (너무 뜨거워서 카바나 오후권 빌렸습니다) 저녁 그릴하우스 인가에서 사먹고 (여기도 죄다 알바만 있는지 맛은 괜찮았지만 서비스 별로였어요 고기에 머리카락 박혀 나왔는데 죄송하단 말도 없었습니다 불도 너무 약하고 한쪽밖에 안구워지고 밥먹는데 한나절입니다) 이돈 에서 그냥 비행기값 더 보태서 외국 가는데 훨씬 돈 안아까울거 같습니다 개인적으론 두번은 안갈곳 입니다</div>|<div class="num">4.3</div>
쏠비치 진도 리조트 |<div class="txt">리뷰 잘 안 쓰는데 진도에 대한 너무 좋은 기억에 한번 써 볼게요😊<br/>5시간울 달려가며 가는길이 너무 멀어서 가는내내 내 생애 마지막 진도 여행이 될거라면서 갔는데 왠걸~~<br/>프런트에서부터 너무 친절하시고 룸도 스위트로 업그레이드해주시고 그때부터 기분좋은 여행의 시작이었답니다.  D동 이었는데 지하편의시설과 연결되어 있어 너무 편리하게 잘 이용했어요.<br/>수영장에 가서는  카바나 빌렸는데 너무 편하게 잘 놀았답니다. 대여소 여직원분이 너무 친절하셔서 기억에 남았어요.아쉬운점은 수영장안 푸드코트 보고 잉??이게 뭐지 했던거에요.<br/>그거 빼고는 리조트<br/>안에 부대 시설도 잘되어 있어 2박 하는동안 먹거리 놀거리 걱정 1도 없이 잘놀았어요!!<br/>특히 오락실과 스포츠게임??노래방 등등 너무 잼났구요~특히 마트 없는게 없어서 넘 편리했어요!<br/><br/>그리고 쏠비치에서 빼놓을 수 없는 야경이 끝내준답니다👍<br/>최고였어요~<br/><br/>오전에는 신비의 바닷길이 열려 산책도 하고 최고의 여행이었습니다.<br/><br/>숙소 주변에 식당들도 너무 맛있고 깨끗하고 가격도 적당해서 관광지 바가지 느낌 하나두 없이 너무나 좋았답니다. 특히 꽃피는 ♡♡식당 밥 다먹고 계산하고 나가려는데 사장님이 일분만 기다리라며 캔음료 2개를 아이들에게 주시는데 여행지에서 이런 정겨운 서비스는 처음이었어요.그리고 진도에서♡♡식당도 점심특선 물회 회덮밥 맛있었구요.꽃게찜도 신선하고 최고였어요👍<br/>소♡#도 꼭 방문하셔요.돈까스 냉모밀 짱이였어요!!<br/>진도에 대한 좋은 이미지만 안고 아쉽게 체크아웃했네요~담에 또 기회가 되면 꼭 재방문 할겁니다👏👏</div>|<div class="num">10.0</div>
쏠비치 진도 리조트 |<div class="txt">주차장 넓은편이에요! 주차공간도<br/>넉넉해서 주차도 어렵지않게 했습니다<br/>엘리베이터, 복도도 엄청 깔끔했어요<br/>예전에 모텔이나 호텔에 숙소를<br/>잡으면 왜 때문인지 담배냄새가<br/>너무 많이낫던 기억이 있는데<br/>​그런점이 전혀 없어서<br/>깨끗하게 관리가 되고 있다는<br/>느낌이 들었습니다<br/><br/>진도 쏠비치는 밤새 환하게 켜놔서 커튼을 쳐도 주황빛이 비쳤다.<br/>암막 커튼이 아니라 조명이 잠을 방해했다. 그래서 창 반 대 방향으로 몸을 돌리고 잤다.<br/>그 점 빼고 투숙은 전체적으로 만족스러웠다.</div>|<div class="num">10.0</div>
