name|reviews|star
여수 라마다 프라자 호텔|<div class="txt">성수기라 사람은 엄청 많아요<br/>체크인 웨이팅 번호가 지나도 도착하면 순서대로 해줘서 좋아요<br/>스타일러도 있어서 좋아요<br/>11층도 뷰가 좋아요!</div>|<div class="num">10.0</div>
여수 라마다 프라자 호텔|<div class="txt">엘베는 뭐 크게 불편함은 없었음<br/>좀 기다리는 시간은 있었지만<br/>해피아워 포함된 티켓이라 아까워서 이용해봤는데<br/>그 스낵바는 뭐 뚜껑덮어놈 뭐하노 날벌레들 다 들어가 앉아있고. 며칠씩재활용 한거 내논건지 진미채는 아주 딱딱하게 굳어버리고 땅콩은 눅눅 과일은 맹맛ㅋ<br/>그리고 체크인하고 뭐 병맥주 3개씩 주던데. 병따개도 비치돼있지 않고 이걸 어찌 따먹으라고. 병따개를 돈주고 샀네??<br/>병맥주면서 엿먹으라는건가.  게다가 맥주도 맛이 없음<br/>방이 좁아. 게다가 침대땜에 더 좁아. <br/>오션부라 바다 보이는거 말곤. 그냥 그럼<br/>사진한장 안찍어놨네<br/>태풍소식에. 물놀이장도 안열고. 바람만 불어댔지. 물놀이는<br/>해도 됐을텐데.  휴가를 제대로 즐기지못하고 온게 아쉬움<br/>조식은 비싸지만 한번은 먹을만 했음<br/>재미없던 이번 여수여행</div>|<div class="num">10.0</div>
여수 라마다 프라자 호텔|<div class="txt">호텔을 처음이용햇는데 외관상으로도 깔끔하고 안에들어가니 더욱좋앗어요 편의시설도좋앗고 다양하게 잘되어잇엇고 뷰도좋고 너무좋아서 다음에도 재방문100%입니다.</div>|<div class="num">10.0</div>
여수 라마다 프라자 호텔|<div class="txt">4인 가족이라 디럭스 온돌방으로 예약 하고 다녀왔습니다. 다음에도 이용할 의사 있음.<br/>* 좋았던 점 :  룸컨디션 좋음, 침구 청결도 좋음, 생수4병, 어메니티 다양하게 구비, 객실 조망 좋음, 옥상에 짚라인 시설 있음<br/>* 아쉬운 점 : 층수에 비해서 엘베 대수가 부족(4대) 하여, 사람들이 몰릴때는 줄을 서야 합니다. 체크아웃때는 직원분이 수동으로 컨트롤해주셔서 나름 관리를 해주고는 계심, 밤에 체크인하니 지하주차장 자리가 없어 인근 노상에 주차를 해야함, 냉장고 성능 약함</div>|<div class="num">8.0</div>
여수 라마다 프라자 호텔|<div class="txt">객실도 깨끗하고 침구도 깨듯하면서 푹신해서 좋았습니다. 하프 오션뷰로 객실 선택했음에도 불구하고 풀오션 처럼 오션뷰가 더 많았습니다. 다음에도 여수 오게 된다면 재방문 할 생각 있습니다.</div>|<div class="num">10.0</div>
여수 라마다 프라자 호텔|<div class="txt">여수에서 좋은 추억남기고 갑니다<br/>번성하세요</div>|<div class="num">10.0</div>
여수 라마다 프라자 호텔|<div class="txt">엘리베이터 이용이 너무불편해서 다른시설 이용하기가 너무 번거롭네요 한가해지면 재방문 해봐야겠어요<br/>휴가철엔 비추합니다</div>|<div class="num">8.6</div>
여수 라마다 프라자 호텔|<div class="txt">예약을 늦게 해서 바다뷰 방을 못잡았어요ㅠㅠ<br/>그렇지만 후면뷰도 나쁘진 않아요<br/>잘쉬었다갑니다 다음에 또 오고싶어요^^</div>|<div class="num">10.0</div>
여수 라마다 프라자 호텔|<div class="txt">엘리베이터 운영방식을 바꿔야할 것 같습니다<br/>사람몰릴 땐 각각 운영층을 달리해서 운영하면 될거 같은데.... 그 외 조식이나 룸 컨디션은 괜찮았습니다.  근데 추가 결제한 조식이 환불이 안되는 이유는 몰까요?</div>|<div class="num">8.0</div>
여수 라마다 프라자 호텔|<div class="txt">여수 여행하기로 마음 먹고 숙소를 찾던 중 되게 좋아 보이고 깔끔한 숙소를 찾은 것 같아서 바로 예약했습니다 체크인에 사람이 조금 많아 무거운 짐을 들고 기다리기 좀 힘들었지만 뷰와 객실 상태가 최고라 그냥 뿌듯한 생각만 들었네요 직원분들도 친절하셨고 가족단위의 투숙객이 많음에도 불구하고 알아듣기 쉽게 또박또박 의사전달도 해주셔서 편하게 체크인 체크아웃 했습니다</div>|<div class="num">10.0</div>
