name|reviews|star
앰배서더 서울 풀만 호텔|<div class="txt">이번 휴가 때 호캉스로 갔어요! 실외수영장 이용하려다가 날씨도 안좋고 해서 그냥 쉬다왔는데 너무 좋았네요! 방이 청결하고 전체적으로 청결해서 좋았고 예술작품이 많아서 감상하는 재미도 있고 빙수 먹었는데 맛있고 힐링이 되었네요. 석식은 예약을 못해서 이용 못했지만 다음날 조식 먹었는데 가성비 좋았어요. 서울에 있는 호텔이라 주변에 먹을 데가 많고 여기저기 접근성이 좋아서 저녁은 명동 가서 먹고 마사지도 받았네요. 호텔 내에서 다 해결이 되었으면 좋았겠지만, 저녁에 주변지역 돌아다니니 관광 온 느낌이 색달랐습니다!</div>|<div class="num">10.0</div>
앰배서더 서울 풀만 호텔|<div class="txt">호텔 깨끗하고 좋았어요!!외부 수영장 호텔  예약하면 당연히 <br/>되는줄알았는데 따로 결제야 했었네요~수영장 깨끗하고 놀기 좋았어요!조식또한 음식 깔끔하고 맛났어요~</div>|<div class="num">10.0</div>
앰배서더 서울 풀만 호텔|<div class="txt">여자친구와 정말 즐거운 시간 보냈습니다.<br/>5성급 호텔은 처음인데 너무 만족했어요.<br/>프론트직원분 체크아웃 할때까지 미소 잃지않고 기분좋은 체크아웃 도와주셨어요.<br/>근데 체크인 할때 변기위에 중요털?같은게 있어서 그점은 좀 아쉬웠어요ㅠ바로 치워주시긴 하셨지만요.<br/>시설은 야외수영장 인스타사진 남기기좋은거 같습니다.<br/>수영모를 못챙겨서 실내수영장은 이용 못했는데 그냥 자쿠지있고 찐 수영즐기실분 가면 좋겠네요.<br/>조식은 당일 체크인할때 포함되지않은 룸이면 30퍼 할인해줍니다.굉장히 맛나네요 여자친구도 또 가자고 하네요.<br/>차를 안가져가도 동대입구에서 도보3분정도 걸려서 대중교통 이용하기도 편하고 편의점도 5분거리에 씨유있어서 필요한물품 있을때 이용하면 될거같습니다.<br/>제가 잠자리가 불편하면 잠을 잘 못자는데 무슨 침대쓰는지 알고싶더라고요.<br/>조식시간까지 잠 한번 안깨고 잘잤습니다.<br/>배달음식은 1층에서 받으러가면되는데 근처에 횟집 족발집 맛집있어서 배달시키기 좋았어요.<br/>기념일 날 와도 좋을거같고 또 재방문하고싶습니다.<br/>강력 추천드려요</div>|<div class="num">10.0</div>
앰배서더 서울 풀만 호텔|<div class="txt">서울 호캉스 너무너무 좋았어요 :-)<br/>룸 업그레이드 해주셔서 감사했구요 ㅎ<br/>남산뷰가 아니라서 조금 아쉽긴했지만 ㅎㅎ <br/>조식 신청도 해서 먹었는데 맛있어용 ! 조식맛집이라고 유명해서 그런지 사람들이 정말 많더라구용 !<br/>나중엔 이그제큐티브로 신청해서 라운지도 즐기고 싶었어용 ㅎㅎ 수영장 사진은 없지만 유유자적하니 좋아용 ㅎㅎ <br/>저녁까지 운영해서 좋았고, 이용은 안했지만 퇴실시간 12시전까지 즐길수 있다고 들었는데 ㅎㅎ 아침에 즐기시는 분들도 많더라구요 ㅎ</div>|<div class="num">10.0</div>
앰배서더 서울 풀만 호텔|<div class="txt">반가운 손님이 오셔서 숙소를 알아보던중 고민을 한참하다가 엠버서더 풀만으로 정하게 되었습니다. 그 이유론 1박을 하면서 인근 관광지노 이동할 수 있는 접근성과 숙소내에서 편하게 쉴 수 있는 편의성을 고려했는데 프리미엄 이그제큐티브 객실이라 숙소에서는 남산타워를 정면에서 볼 수 있어 여러모로 만족하셨다고 한 것 같아 저 역시 만족했습니다. 그리고 뭣보다 컨시어지에서 객실등급에 맞게 받은 서비스는 최고였습니다.</div>|<div class="num">10.0</div>
앰배서더 서울 풀만 호텔|<div class="txt">1. 주차타워가 조금 불편해요<br/>호텔과 연결되어있지 않고 외부로 나와서 가야합니다<br/><br/><br/>2. 객실키 오류<br/>2박 묵었는데 1박 후 다음날 외출 후 부터 <br/>객실키가 작동을 안함 .. 일반전화로 프론트 전화가<br/>매!!!!우 연결이 안되어서 하우스키퍼분 찾아서 <br/>그분이 연락 대신 해주시고 문을 대신 열어주심 <br/>새로 키 가져다 주셨고 수영복 환복 후 <br/>야외수영장 입장하려하니 키 먹통( 이미 체크인 시 야외수용장 이용료 결제완료)<br/>다시 프론트 연결 바로 안되어 시간 보내다가 <br/>다시 간신히 연결<br/>수영장 안된다고 말씀드리고 다시 올라온다고 하심 <br/>그런데 10-15분후 안올라오시고 예약부서? 에서 전화가와서 결제여부를 계속 물으시는데 <br/>거기 정보가 분명 있을텐데..; 프론트와 아직 소통이 안되었다고 함.. 체크인시 분명 수영장 이용료에 관해 두번이나 여쭤봤었는데 예약부서에서 말하는 내용과 또 상이함<br/>다시 올라오셔서 키 바꿔주심<br/>처음부터 체크인시 안내한 직원이 잘못 안내한거고 <br/>제가 말한내용이 맞다고함.. 직원이 결제도 하면서 <br/>어떻게 이 내용을 모르는지 이해가 안감 <br/>수영장에 키 찍으니 또 오류.. 이때부터 진짜 장난 치는 것도 아니고 짜증났는데 프론트 전화 연결도 안돼서 <br/>또 키퍼분 찾아서 연결요청드림.. 하 <br/>그리고 다른 남자직원분 올라오셔서 사과했는데 <br/>이러한 내용 말씀드리니 아예 모르고계심 <br/>그냥 키만 전달 하러오심ㅋㅋㅋㅋㅋ<br/><br/><br/>3. 소음<br/>밖에서 애들 지나가는소리 떠들고 소리지르는소리 다들리고 무슨 윗층은 못질을 하는지 소리가 너무났는데<br/>공사중이라고 하셔서 후...ㅠ<br/><br/>오류여서 처음 오류였을때 부턴 확인을 제대로 하고 주셨어야 한다고 생각하는데 세번인게 장난치나 싶을 정도로 좀 짜증났네요  <br/>직원분 다시 올라오시고 또 연결도 바로바로 안되어서<br/>한시간 넘게 시간을 날렸어요 <br/>마지막엔 웰컴드링크라도 주신다 했지만 그냥 거절했는데 <br/>일부러 그러신건 아니겠지만.. 직원교육좀 다시 시켜주세요 안내도 다 틀리게 안내해서 예약부서에서 전달 받은 내용이랑도 다르고.. 재방문의사는 글쎄요</div>|<div class="num">4.6</div>
앰배서더 서울 풀만 호텔|<div class="txt">객실상태, 서비스, 식/음료. 시설 등 모든 면에서 훌륭한 호텔이었습니다. 주차장이 야외에 있어 호텔과 바로 연결이 안되는 점은 아쉽지만 그래도 바로 옆이라 괜찮았어요. 그리고 배달음식도 취식이 가능해서 너무 편했습니다. 다음에 또 방문하고싶어요</div>|<div class="num">10.0</div>
앰배서더 서울 풀만 호텔|<div class="txt">여름휴가 어디로 갈지정하다가 폴만호텔 이그제큐티브 킹<br/>사이즈 객실 선택하게 됬습니다.<br/><br/>우선 객실자체는 엄청깔끔하고 모던하며<br/>특히 이불침대가 정말좋습니다.. 따로구매하려고 브랜드도<br/>적어놨네여!! 남산뷰 숙소라 남산뷰도 통창으로 보이니<br/>너무 감성적이였습니다<br/><br/>사우나 및 헬스장 풀장 모두 시설완벽하며<br/>넓진않으나 모든걸 갖추고있어 여자친구와 만족하고 갑니다.<br/><br/>마지막으로 조식및 해피아워 음식도 입에 잘맞았습니다</div>|<div class="num">10.0</div>
앰배서더 서울 풀만 호텔|<div class="txt">이그제큐티브룸에서 투숙했는데 방 크기가 스탠다드 룸 수준으로 작았어요 ㅠㅠ 객실 내 먼지가 조금 많아서 아쉬웠습니다 기침을 좀 많이 했네요 그 외로는 직원 분들 모두 친절하시고 조식이랑 해피아워 음식들 다 유명한 만큼 맛있었어요 :) 룸도 화려하진 않지만 예뻤고 복도도 예쁘게 잘 꾸며놨더라구요! 침구도 좋았고 어매니티 향도 너무 좋았어요 그리고 1층 1955 그로세리아 점심 맛있어서 추가로 추천 드려용 ㅎㅎㅎ</div>|<div class="num">8.6</div>
앰배서더 서울 풀만 호텔|<div class="txt">정말 만족스러운 호캉스였습니다. 시설이면 시설, 뷰면 뷰!!! 음식도 퀄리티 있고 맛도 좋습니다. 가격대가 없다고 말 할 수는 없지만 1도 아깝다는 느낌 못 받게 즐겁게 놀다왔습니다. 서울에 워낙 호텔이 많아서 어디 가실지 고민하긴다면 앰배서더 완전 강추~~~<br/>위치도 요즘 핫한 신용산 근처라 저녁에 즐길거리도 많고 용산 CGv도 가까워서 아이들이랑 가기에도 좋을 것 같아요</div>|<div class="num">10.0</div>
