name|reviews|star
신라스테이 구로|<div class="txt">신라스테이 구로점호텔은 항상 믿음이 가고 늘 여기서 숙박을<br/>합니다. 호텔 이름에 부합되게 객실 상태 깔끔하고<br/>항상 방문 할 때마다 최고의 컨디션인 객실을 받아서<br/>좋습니다. 주변에 포차거리도 있어서 좋습니다!</div>|<div class="num">10.0</div>
신라스테이 구로|<div class="txt">비교적 저렴한 가격에 좋은 시설을 사용할 수 있어 좋은 것 같아요! 24시간 스테이라 편하게 쉬다 갑니다!</div>|<div class="num">10.0</div>
신라스테이 구로|<div class="txt">친절한 프런트 직원분들 덕분에 빠르게 체크인할 수 있었습니다.<br/>지하철 출구 나와서 멀지 않은 곳에 위치하여 좋습니다.<br/>근처에 편의점이 있어 편리하게 이용할 수 있었습니다.<br/>조식이 훌륭합니다. 쌀국수도 맛있고, 오믈렛도 맛있습니다.<br/>룸도 고층에 배정해주셔서 좋았습니다.<br/>신라스테이 브랜드는 다 좋은 것 같습니다.<br/>이번 구로점 이용도 너무 만족합니다. 룸컨디션도 좋습니다.</div>|<div class="num">10.0</div>
신라스테이 구로|<div class="txt">잘 쉬다갑니다~잘 쉬다갑니다~잘 쉬다갑니다~잘 쉬다갑니다~잘 쉬다갑니다~잘 쉬다갑니다~잘 쉬다갑니다~잘 쉬다갑니다~잘 쉬다갑니다~잘 쉬다갑니다~잘 쉬다갑니다~잘 쉬다갑니다~잘 쉬다갑니다~잘 쉬다갑니다~</div>|<div class="num">10.0</div>
신라스테이 구로|<div class="txt">깨끗하고 친절한 프론트 직원 분들이 맞이해주시는 신라스테이 구로였습니다. 룸도 깨끗하고 전반적으로 만족합니다. 6시 이후로는 배달음식 픽업 서비스와 와인잔 대여가 가능하다고 합니다. 다만 조금 아쉬웠던 점은 객실 위치별로 다르겠지만 제가 있던 객실은 구로디지털단지 역쪽이라 저녁 늦은 시간까지 지하철 소리가 들렸습니다. 예민하신 분들은 해당 내용 미리 프론트에 전달하면 좋을 것 같아요.</div>|<div class="num">10.0</div>
신라스테이 구로|<div class="txt">청결하고 조식도 맛있었고 역도 가까워서 좋았어요!</div>|<div class="num">10.0</div>
신라스테이 구로|<div class="txt">첫 번째 객실에 에어컨이 너무 약해 방을 한 번 옮겼습니다 , 와중에 직원분이 친절하셔서 크게 불편함을 느끼지는 않았습니다 .</div>|<div class="num">6.3</div>
신라스테이 구로|<div class="txt">청결+친절, 객실은 좀 작지만  조식 뷔페 기대 이상<br/>지하철 역과도 가까워 무척 편리</div>|<div class="num">10.0</div>
신라스테이 구로|<div class="txt">너무좋아요 시설도 좋고 위치도 좋고 좋습니다좋아요!</div>|<div class="num">10.0</div>
신라스테이 구로|<div class="txt">자매들끼리호캉스로 다녀왔는데 디너 뷔페와 나름 잘 이용했어요.<br/>7평이라 좀 작긴했어요.<br/>테이블과 의자가 있는데 의자는 하나 뿐이라 3인 투숙시 불편했고 의자도 레자재질이었음 하네요.<br/>각티슈도 욕실에 있었는데 채워놓지도 않고 몇장 없어서 요청했습니다.<br/>화장할때 거울이 마땅한게 없어 좀 그래요.<br/>냉장고 위쪽 거울은 거리가 멀어서 기능을 못해서<br/>거울이 옷 거는쪽에 붙어있었으면 좋겠다는 생각입니다.<br/>바닥 청소도 좀 개선이 필요해 보입니다.</div>|<div class="num">6.0</div>
신라스테이 구로|<div class="txt">매번 잘 이용하고 있습니다. <br/>객실도 깨끗하고 피트니스 센터도 너무 좋습니다.</div>|<div class="num">10.0</div>
신라스테이 구로|<div class="txt">항상 잘 이용하고 있어요:)</div>|<div class="num">10.0</div>
