name|reviews|star
소피텔 앰배서더 서울|<div class="txt">바로옆이 롯데타워몰~ 아이들셋데리고 서울왔다가 저번에 숙소 너무 친절하게 잘지내다가고 아이들도만족했는지 또 찾길래ㅋ 거리도가까운 소피텔~  아무래도 초3명에 어른한명 . 인원수때문에 미리연락드렸더니 매니피크 예약하고 추가로 침대함 가능하다고 하셔서  예약하고 저나한번했는데 너무친절하게응대해주시고 짐두러가서 체크인할때도 친절하게 다 설명해주시고 아이들키즈카페도ㅡㅋ 가진않았지만ㅋㅋ 그래도 설명잘듣고 잘놀고 아이들피곤한데도 욕조물받아 거기있던 소금바스로 너무잼나게놀고 침대서 신나게뒹굴고~  안자는거 겨우재웠네요ㅋ 너무편하게잘자고ㅋ 하루더자고가자는거;;;  오늘일정에 태풍때문에 복귀해야되서 아쉽게갑니당ㅜㅜ<br/>비싸서 할까말까 망설였는데 역시!!  친절하게 푹~ 잘쉬다가 갑니당!!  침대도폭신! 뷰도!!  몰이랑 가깝고 롯데월드. 키자니아등 다가까워서 좋네용ㅋ 아 이번에 하나 아쉬운건ㅜ샤워하는데 물이 온수나오다 찬물나오다 너무오락가락이었어요ㅜㅜ</div>|<div class="num">10.0</div>
소피텔 앰배서더 서울|<div class="txt">아주 훌륭한 호텔 중 한 곳입니다. <br/>최신식에 현대적인 인테리어가 돋보이는 쾌적한 시설이었습니다. <br/>엘리베이터를 로비층에서 갈아타야하는 살짝의<br/>불편함도 있긴 하지만, 그래도 깔끔함과 대접받는 느낌 등으로 모두 마모되는 느낌입니다. <br/>킹사이즈 침대도 정말 커서 3명이 자도 넉넉할정도며, 어매니티도 딥디크로 훌륭하고, 수건/물/각종 필요용품들을 계속 시킬 수 있어 이마저도 훌륭했습니다. <br/>침구류도 푹신하고, 뷰는 정말 환상적이었습니다. <br/>123층의 롯데타워가 그냥 나를 반겨주는 그 느낌. <br/>돈이 아깝지 않은 투숙이었습니다.</div>|<div class="num">10.0</div>
소피텔 앰배서더 서울|<div class="txt">지금까지 갔던 호텔중 최곱니다<br/>역시 5성급이라 그런지 청결 너무 깨끗하고<br/> 직원들 서비스까지 너무 친절하셔서 오히려 ㅋㅋ..<br/>부담될정도에요! 그리고 미리 추가사항란이 없어 <br/>안좋은 뷰 층수 줄수도있을거 미리 생각했는데<br/>여자친구가 생일이라 생일이라고 슬며시 말했더니<br/>고층의 13호 라인주시면서 케이크까지 주셨습니다<br/>고층 13호 라인이라 뷰가 진짜 좋았고 또 가고싶습니다 ㅠㅠ 너뮤 좋았던 호텔 ㅠ</div>|<div class="num">10.0</div>
소피텔 앰배서더 서울|<div class="txt">전반적으로 나쁘지 않았어요,<br/>객실 정비 상태가 좀 아쉬웠지만 <br/>문제 삼을 정도는 아니었고, 잘 쉬었습니다</div>|<div class="num">8.0</div>
소피텔 앰배서더 서울|<div class="txt">진짜진짜 잊지못할 하루였습니당...🥹❤<br/>비가 오락가락해서 날씨가 좋자않아 뷰는 기대하기 힘들었지만 저녁에 날이 잠깐 좋아져서 나름 좋았어요!!!! 32층에서 따로 체크인.체크아웃을 할 수 있어 편하고 좋았습니다 해피아워도 만족스러웠고 제일 만족했던건 페메종조식.... 종류가 많아 원하는대로 먹을 수 있어 넘 행복했어요 (스크램블은 주문하면 만들어주시는데 너무 살짝만 익혀서 저는 조금 비렸어요..ㅜ 그것만 빼고 다 너무너무너무 좋았습니당!!!!)</div>|<div class="num">10.0</div>
소피텔 앰배서더 서울|<div class="txt">말이 필요없는 소피텔 굿</div>|<div class="num">10.0</div>
소피텔 앰배서더 서울|<div class="txt">예전부터 가고싶었던 곳 소피텔!! 기대를 많이 하고 있었는데 인테리어부터 수영장, 뷰, 조식, 직원분들 대응까지 너무나도 완벽했습니다 저는 아쿠아리움티켓까지 받았고 저렴한 가격에 호캉스를 즐길 수 있었어요 시간이 없어서 라티튜드32를 못간게 제일 아쉽네요.. 일단 뷰가 미쳤습니다 근데 수영장에서 보는게 더 미쳤어요;; 석촌호수로 방 배정 받길 원하신다면 체크인할 때 방 배정받기 전 직원분께 고층이고 10호 이후라인으로 원한다고 하심 됩니다!! 레이크가 붙어있어야 호수뷰에용 그리고 트윈베드로 예약하실 경우는 앞에 롯데월드 몰 때문에 살짝 가려지거나 위에 환풍? 그거 땜에 뷰는 포기하셔야 됩니닷ㅠㅠ 조식도 에그 관련된거는 꼭 한 번 드셔보세요ㅠㅠ 넘 맛있어요 그리고 삼겹살 !! 대박입니다 너무 맛있어요ㅠ 디저트도 거의 다 먹어본 것 같은데 5만5천원이 아깝지가 않아요.. 제대로 뽕 뽑고 갑니다 연인끼리 와도 너무 예쁘고 혼자와도 충분히 힐링할 수 있어요!! 제 리뷰가 도움 되셨으면 좋겠네용 다음에 또 올게요 잘 있어 소피텔 ㅠ 💗💗</div>|<div class="num">10.0</div>
소피텔 앰배서더 서울|<div class="txt">친구랑 호캉스 하려고 방문했어요! 역시 신상 호텔이라 그런지 시설도 너무 깔끔하고 세련됐더라구요~~ 객실도 수영장도 화려하고 너무 좋았어요 직원 분들도 당연히 친절하구요! 1층 내려가려면 엘리베이터 두 번 타야한다는 게 좀 귀찮긴 했어요 단점이라면 단점인데 그래도 주변에 석촌호수도 있고 먹자골목도 가까워서 위치적으로 너무 좋았습니다 ㅎㅎ 조식도 맛있구요! 기분 좋은 투숙이었어요 다음에도 푹 쉬러 방문하고 싶네용 🤍</div>|<div class="num">10.0</div>
소피텔 앰배서더 서울|<div class="txt">레이크 킹 이시면 10호 이상으로 가세요…</div>|<div class="num">10.0</div>
소피텔 앰배서더 서울|<div class="txt">날씨가 안좋았지만 뷰가 너무 좋았어요</div>|<div class="num">10.0</div>
