name|reviews|star
호텔 아트리움 종로|<div class="txt">남산타워도 보이고 야경이 나름 괜찮아요. 광장 시장 걸어서 금방이라 맛있는 것들 사와서 저녁을 잘 해결했어요...다만, 외국인 여행객들과 섞여서 조식이 혼잡스러웠다는 점이 아쉽고 *국 사람의 예의 없음으로 살짝 불쾌했지만, 만족한 1박이었습니다.</div>|<div class="num">10.0</div>
호텔 아트리움 종로|<div class="txt">인천에 거주해서 집이 멀진 않지만<br/>오랜만에 호텔잡고 서울투어를 하고싶어서 <br/>친한 동생과 함께 다녀왔습니다!<br/>객실은 작지도 크지도않고 아담함 느낌이었고<br/>화장실은 넓은편이었어요! 조금 아쉬운점이 <br/>있었다면 콘센트가 많이 없는거같았어요 ㅠㅠ<br/>조식에 있던 미트볼 너무 맛있었습니다!!다른음식도<br/>물론 맛있어요!다음에 또 이용할 생각 있습니다!😊</div>|<div class="num">9.3</div>
호텔 아트리움 종로|<div class="txt">생긱보다 깨끗하고 쾌적한 호텔이었어요<br/>광장시장도 있었고<br/>근처에볼거리들이 다수있어<br/>좋은호텔이고<br/>다시방문하고 싶은 곳이었어요 <br/>조식도요 good</div>|<div class="num">10.0</div>
호텔 아트리움 종로|<div class="txt">전체적으로 만족하구요 직원분들 서비스도 열심히 해주시는것같아서 좋아어요. 지방사람인데 다음에 오면 또 이용하려구요~감사했습니다~</div>|<div class="num">10.0</div>
호텔 아트리움 종로|<div class="txt">광장 시장 근처라 위치 성 좋았습니다. <br/>바로 역시 스타벅스가 있어서 좋아요. 조식 음식 종류 다양하고 맛있습니다. 빵 종류도 많아요.<br/>외국인 손님도 많고 한국인 손님도 많았습니다.<br/>편하게 잘 쉬다 왔습니다.<br/>종로쪽 가신다면은 추천 드려요.<br/>시티뷰 이긴 하나 크게 볼 건 없습니다. 방 자체는 디즈니스 호텔 정보 크기? 약간 노후화 되긴 했습니다<br/>소동약 같은 냄새가 났어요.</div>|<div class="num">10.0</div>
호텔 아트리움 종로|<div class="txt">가성비 좋은 호텔입니다 <br/>가성비 좋은 호텔입니다 <br/>가성비 좋은 호텔입니다 <br/>가성비 좋은 호텔입니다 <br/>가성비 좋은 호텔입니다 <br/>가성비 좋은 호텔입니다 <br/>가성비 좋은 호텔입니다 <br/>가성비 좋은 호텔입니다 <br/>가성비 좋은 호텔입니다 <br/>가성비 좋은 호텔입니다</div>|<div class="num">7.3</div>
호텔 아트리움 종로|<div class="txt">서울에서 조식과 함께 왠만한 먹거리와 놀거리가 해결되는 숙소</div>|<div class="num">10.0</div>
호텔 아트리움 종로|<div class="txt">가성비 괜찮은 호텔이였던것 같습니다. 관광객들이 주로 오는 곳이라 그런지 주차장도 비교적 여유로웠던것 같아요! 조식도 가격대비 나쁘진 않았습니다!</div>|<div class="num">7.3</div>
호텔 아트리움 종로|<div class="txt">화장실 샤워부스안 곰팡이.. 타일상태 빼고는 좋았어요~</div>|<div class="num">10.0</div>
호텔 아트리움 종로|<div class="txt">숙소깨끗하고좋았어요♡</div>|<div class="num">10.0</div>
호텔 아트리움 종로|<div class="txt">가격대비 위치도 좋고,룸 컨디션도 좋았어요.<br/>조식도 기대하지 않았는데 생각보다 괜찮았어요.<br/>특급호텔보다 잘 나왔던것 같아요.^^<br/>도로건너면 바로 광장시장도 있고^^재방문의사 있습니다.</div>|<div class="num">10.0</div>
호텔 아트리움 종로|<div class="txt">아이와 2박3일 지냈습니다<br/>먼저 가장 큰 장점은 직원분들이 <br/>5성급 호텔 못지않은 친절함과 <br/>미소를 가지고계셔서 좋았습니다<br/><br/>조식은 가지수가 많진 않지만<br/>음식들은 다 맛있었어요<br/>과일이 통조림이라 놀랬네요 <br/><br/><br/>아쉬운점은 객실내 청결도네요 ㅎ<br/>오래된 이불커버 수건 슬리퍼 <br/>바닥이 카펫이다보니 먼지가 엄청많고<br/>오래된 이불커버라 오리털인지 속통날림이 심했어요<br/><br/>참고하시면 될거같아요<br/><br/>시설은 가격대비 그만큼이고<br/>직원분들 서비스는 그이상이여서 만족은 하지만<br/>다시 가진 않을것같아요 ㅎㅎㅎ</div>|<div class="num">10.0</div>
호텔 아트리움 종로|<div class="txt">주변 익선동.광장시장도있고<br/>지하철접근성도좋고<br/>호테내부도 깨끗하고<br/>침구도까끔하고<br/>직원들도친절하고<br/>조식도 다양하고<br/>맛있고 깔끔했어요<br/>모두만족합니다<br/>아쉬운점은 <br/>티브이 채널이 부족한거였네요<br/><br/>또이용하고싶네요</div>|<div class="num">10.0</div>
호텔 아트리움 종로|<div class="txt">편하게 잘쉬다갑니다</div>|<div class="num">10.0</div>
호텔 아트리움 종로|<div class="txt">조용하고 깨끗했어요<br/>편안하게 있다 왔어요^^</div>|<div class="num">10.0</div>
호텔 아트리움 종로|<div class="txt">늦게까지 일정이 있어서 잠자고 씻기에 불편하지 않은 적당한 곳을 찾다가 갔어요. 직원분들 친절하세요. 시설도 나쁘지 않아요. 밤 9시 넘어 갔는데 주차도 가능해서 좋았습니다.</div>|<div class="num">8.0</div>
호텔 아트리움 종로|<div class="txt">첫 이용 후기입니다!<br/>가성비 숙소인거 같아요~<br/>장단점이 있는데요..! <br/>주차를 직접 해여하는 것과 가운이 없는 것이네요ㅠ<br/>그래도 수압도 쎄고 침대도 푹신해서 완전 꿀잠 잤어용!!<br/>다음날 광장시장도 가서 잘 놀았네요!!<br/>외국인 분들도 많더라구요 단체 손님이 많아서 걱정 했는데 방음도 잘되는거 같더라구요!<br/>아 그리고 칫솔 치약은 없고 칫솔 1,000원에 살 수 있습니다</div>|<div class="num">10.0</div>
호텔 아트리움 종로|<div class="txt">조식 괜찮았어요! 맛있음</div>|<div class="num">10.0</div>
