name|reviews|star
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">야경 좋은곳으로 부탁드렸어요! 남산 야경이 넘 좋더라구요 ㅠㅠ 특히 해피아워 네이버 리뷰 보고선 큰 기대 없이 갔었는데 먹을게 생각보다 많아서 좋았어요~ 조식도 대만족 했습니다 elf 패키지 강추해요</div>|<div class="num">10.0</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">슈페리어 스위트로 예약했는데 체크인 하고 룸 올라가니 주니어 스위트여서 로비에 말했더니 호텔측엔 주니어로 되어있다고 예약확인 다시 하고 슈페리어 스위트로 옮겨주셨어요<br/>취사 할 수 있는 점은 좋아요<br/>노보텔 스위트를 주로 가다가 처음 가봤는데 직원분들은 친절하셨어요</div>|<div class="num">10.0</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">체크인할때 체크아웃할때 굉장히 불쾌 했습니다 <br/>체크인할때는 반려동물객실예약했음에도 55000원을 내라고하고,사우나비용추가로내야한다고해서 멤버쉽가입하고 무료로 이용을하기로했는데,시설을이용하다보니 수영이랑피트니스가무료인데 사우나가 유료라는게 이해가 안갔습니다 사우나시설에 수영복입운사람이씻기도하고 피트니스운동복양말이배치되있는데 저처럼사우나만유료인경우에 사우나시설에서 헬스만하고 못씻게 제지하는사람이 있나요 ? 이상해서 체크아웃때 제가구매한방이 사우나는 불포함이였냐고 확인해보니 포함사항이였다고하네요 특가일경우에 사우나X처리되있으면 불포함이라는데 저는 성수기때 제값내고 이용했으니 상관없었구요 . 어이없지만 저는 멤버쉽을 가입을했구요 .당황스러운건 체크인때 계신분은 신입분이셨고 옆에서 봐주신경력있으신분이 옆에계셨습니다 .체크인때 제가구매한상품에 선착순 수영입장권이 포함되서 물어봤을때 줄수있다고 했다가 저희객실로 올라오셔서 선착순끝났지만 드리는거다 라고 하더군요 마음이 불편해서 이용못했었는데 체크아웃때 신입분옆에계셨던분이 껴들더니 수영장입장권은 없는게맞았다고 다시한번 저한테 얘기하더군요 .제가 억지로 달라한것도아니고 써있는글 읽은거에 바로 주겠다했다가 원래는아니다 라고 생색 내신거 아닌가요 ? 그래서 반려견비용받으려했고 사우나 유료라고했던건요?라고 받아치니 그제서야 음료쿠폰을주며 기분을 풀라했구요 . 체크인때도 기분이 안좋았고 사우나 이용하면서도 왜 우리만 유료지 ? 생각하며 이용했고 체크아웃때도 사우나포함이라는말과 이용도안한 수영장입장권 생색까지내니 가족한테는 말도못하고 저혼자 화가납니다 인포에계신 신입으로들어오신분에게 무조건 추가비용에 멤버쉽가입을 강요하는 호텔인가 싶습니다</div>|<div class="num">6.3</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">적당히 좋은거 같아요! 프런트 직원분들은 정말 친절하고 좋은데 부대시설의 직원들은 너무 별로 였어요.  뷰도 그냥 적당했어요 와~~~~ 좋다는 아니지만 그냥저냥 입니다.</div>|<div class="num">6.6</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">깨끗하고 너무 좋았어요</div>|<div class="num">10.0</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">두번째 방문이었는데, 이번에도 잘 쉬다가 왔습니다.<br/>라운지 음식은 별 기대 안 했는데, 대체적으로 맛있게 먹었어요. 연어가 있어 좋았습니다.<br/>객실도 깨끗하고 침구도 푹신해서 편안하게 온전히 휴식 취하다가 왔어요.<br/>수영장은 정말 수영!!을 위한 공간이라 오랜만에 수영모쓰고 실컷 수영했네요ㅎㅎㅎㅎㅎ<br/>직원분들 역시 항상 미소로 친절히 응대해주셔서 기분 좋았어요^^</div>|<div class="num">10.0</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">1박 2일로 멀리 놀러가기는 힘들어서 서울에 있는 호텔을 예약했습니다. 라운지이용 가능한 포함 패키지로 예약했는데 성인 두 명이 이용 하니 초등학생 아이는 무료 이용이 가능해서 좋았습니다.  해피아워랑 조식을 워낙 잘 먹어서  따로 객실 내에 있는 취사도구를 이용 할 일은 없었지만 그래도 웬만한 도구은 다 갖춰져 있는 것 같았습니다. 수영장도 사람이 적어서 이용하기 편했습니다</div>|<div class="num">8.0</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">주니어로 예약했는데 수페리얼로 업글해주셔서 기분좋게 이용하다 갑니다. 확실히 주니어보다는 방도 넓고 더 쾌적하게.이용할 수 있었던 것같아요. 시티뷰는 앞에 남산타워가 보여서 낭만적입니다. 침구도 엄청 푹신해서 꿀잠잤습니다! 슈페리얼은 티비도 안방에 하나 거실에 하나여서 싸울일없어요. 대신 화장실과 욕실은 좀 좁습니다. 레지던스라 오븐, 식기 등등 모두 다 있어서 요리해먹기 좋을 것 같네요. 블루투스 스피커도 있어서 분위기 내기 좋습니다. 그래도 가장 좋았던 것은 온돌.... 바람나오는게 아니라 정말×100 200퍼 만족입니다. 계속 온돌써주세요 온돌 최고거든요. 조식도 가짓수가 많지는 않지만 깔끔하고 있을건 다 있고 무엇보다 맛있습니다. 사우나랑 헬스장도 깔끔합니다. <br/>다만...... 별 한 개 뺀 이유는 방에 있는 환풍기? 뭔지 모르겠지만 저기서 윗층인지 옆방인지에서 나는 소리 다 들립니다. 저게 거실에 하나 안방에 하나 있었는데 떠드는 소리 다 들렸어요. 처음엔 복도에서 나는 소린가했는데 저기서 나는 소리더군요. 이용에 참고하시면 되겠습니다.</div>|<div class="num">10.0</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">정말 완벽한 호캉스였어요 남자친구 생일을 맞아 방문헸는데 룸업그레이드에 생일 케이크까지 준비해주시고 직원분들 모두 다 친절하시고.. 너무 감동이었고 행복한 하루였어요 전에 노보텔 스위트에 묵었을땐 불미스러운 일이 있었어서 이번에 걱정도 좀 됐었는데 괜한 걱정을 한거였어요 저 응대해주신 직원분께 감사 인사 전하고 싶었는데 그러지 못해 아쉬웠어요.. 덕분에 서프라이즈 이벤트도 성공하고 정말 감사했습니다 다음 기념일에도 재방문 할 예정이에요 다들 호캉스는 그랜드 머큐어로 가세요!</div>|<div class="num">10.0</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">그랜드 머큐어 엠버서더 레지던스 첫 이용입니다.<br/>하루 묵을 목적으로 호캉스왔는데, 로비에서부터 친절하게 안내해주셔서 감사했습니다. 객실 청결도도 좋고 주니어스위트에서 슈페리어로 업그레이드해주셨는데, 남산타워부터 서울 시내 전경이 펼쳐진 뷰는 정말.. 대박입니다. 룸서비스 식사는 이용안해봤지만 다른 투숙객분들은 많이들 이용하시는 것 같아요. 어메니티로 제공하는 르라보도 정말..향도 좋고 깔끔하고 좋네요. 재방문의사 500%입니다</div>|<div class="num">10.0</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">덕분에 여자친구와 즐거운 시간 보냈네요~~<br/>호캉스로 딱이에요!!</div>|<div class="num">10.0</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">객실 상태는 좋았어요. 그런데 조용히 쉬러 간건데 옆방인지 위층인지 계속 쿵쿵 소리내서 좀 힘들었어요.<br/>티비소리나 말소리는 안들리는데 쿵쿵은 못막는 것 같네요. 의자 끄는 소리도 심하고요. 호텔등급에 맞게 의자에 패드 정도 붙혀주심 투숙객들에게 더 좋을 것 같네요<br/>그리고 룸서비스 쟁반에 먼지가 ㅜㅜ 5성급 레지던스호텔에서 이게 무슨 일인지 ㅜㅜ 자주 가는 곳이었는데 이번에 좀 실망했어요.</div>|<div class="num">7.3</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">아기와 함께 2박 3일 머물러 써요 방이 넓게 빠졌고 주방 있어서 편리 하네요. 요리는 하지 않았지만 조리 도구가 다 있습니다 냉장고 와 전자레인지가 있어서 간편식 조리하기 참 좋았어요 식탁도 있어서 좋습니다 욕실이 좀 작은 편이지만 욕조가 있어서 괜찮네요<br/><br/>주변에 갈 곳이 용산역 밖에 없어서 좀 아쉽지만룸 자체는 좋습니다. 조식은 아기가 먹을 것은 부족하네요<br/>전체적으로 서비스도 만족하고 직원도 친절해서 즇았습니다.</div>|<div class="num">9.3</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">개인적으로 방도 깔끔했고 분위기도좋았고 가성비도 좋았습니당 ㅎㅎ</div>|<div class="num">10.0</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">프라이팬의 코팅이 다 벗겨져 있거나, 식기세척기에서는 냄새가 납니다.<br/>오븐은 사용할 엄두가 안생길 정도로 더려웠습니다.<br/>침구를 제외한 나머지 청결이 진짜 별로였습니다.<br/>차라리 다른 4성급 갈랍니다. 5성급이라는 말이 아깝네요.</div>|<div class="num">6.6</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">가족 호캉스로 갔는데요. 서비스도 좋고 방도 넓어서 너무 만족했습니다. 특히 엄마아빠가 많이 만족했어요. 강추하는 곳이에요!!</div>|<div class="num">10.0</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">룸 컨디션 너머 좋았고 요리 해먹을수 잇어서 좋았습니다.<br/>다만, 호텔 주차장이 만차여서 사용할수 없엇고 인근에 있는 다쓰러져가는 쥬차장 이용했습니다..이거 뺘고는 너무 만족스러웟습니다..</div>|<div class="num">10.0</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">남산뷰 좋았구요<br/>서비스 시설 뭐 기타등등 좋았어요 용산역도 가깝구요</div>|<div class="num">10.0</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">호캉스 보다는 업무로 방문숙박한터라 별기대없었는데<br/>객실 및 기타 서비스 등  완전 만족했습니다.<br/>특히 티포트와 티잔이 구비되어 있어 너무 좋았습니다.<br/>가격도 평일이라 괜찮았구요<br/>조식등이 약간 고가 이긴하지만 아깝지는 않았습니다.<br/>씨티뷰가 훌륭하진 않지만 전반적으로 개방감있어 <br/>기분좋은 식사시간이 되었습니다.<br/>입구부터 펼쳐지는 미술조형물 덕분에 전시회 감상을 하는것같았고<br/>엘리베이터 바닥등 볼거리가 되었고 메마른 정서가 잠시나마<br/>풍성하게 채워지는것같았습니다.<br/>직원분들도 덜하지도 넘치지않게 신경써주셔서 편하게 있다왔습니다.</div>|<div class="num">10.0</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">아이와 겨울방학 여행을 가려고 선택한 그랜드 머큐어✨️ 해피아워와 조식 패키지로 아이도 어른도 즐기는 여행이 되고자 선택했어요~ 라운지에서 티브레이크, 해피아워(이브닝칵테일), 조식까지 즐길 수 있었어요<br/>주차할때도 주차공간이 넉넉하고 주차선이 넓어 편하게 주차가 가능했고 엘레베이터와 연결된 입구도 가까워서 아주 나이스했어요👍 체크인 시간보다 조금 일찍와서 로비에서 웨이팅하려고 했는데 일찍 체크인 해주신다고 해서 얼리체크인 할 수 있어서 감사했어요~ 체크인 하고 룸에 짐 풀고 여기저기 살펴보았어요 어메니티도 르라보 상탈에 뷰가 확 트여서 시원하더라고요 저 멀리 남산까지 보였어요~^^ 공기청정기가 룸에 있어서 가동시켜서 쾌적한 룸컨디션을 유지했어요 비염 때문에 가습기가 필요해서 요청드리니 빠르게 가져다 주셨고 들어오실때 문앞에서 신발까지 벗고 들어오시더라고요 신고 들어오셔도 되는데 그런 세세한 서비스까지 감동이더라고요 직원분들 모두 너무 친절하셔서 기분 좋았어요~ 티브레이크를 즐기러 라운지에 가서 간단히 마시고 호텔을 둘러보고 룸에서 쉬다가 해피아워를 즐기러 갔어요 라운지라 자리도 어느정도 간격이 있어서 방해받지 않는 분위기에서 자유롭게 즐길 수 있었고 주종과 음식 종류도 다양하게 있었어요 중간중간 접시와 컵을 잘 체크해주시고 치워주셔서 편했어요👍 건물 옆으로 바로 가면 이비스 2층에 편의점이 있어서 간단히 먹을걸 사러가기 편했어요 레지던스 호텔이라 입고있던 옷들을 세탁하고 건조까지 진행했더니 먹고 이야기하고 노는 시간에 다 말라서 나왔더라고요 너무 편하고 좋았어요~ 없는게 없을정도로 집처럼 편안한 분위기에 깨끗하고 좋은 시설에 기분이 좋았고 서비스도 좋아 불편함이 1도  없었어요 아침 조식시간에도 조용하고 편안하게 식사를 했고 체크아웃때도 굉장히 편한 분위기에서 빠르게 진행해주셨어요 여긴 앞으로 자주 찾게 될것같아요 정말 또 가고싶고 가족과 친구와 함께 하고싶은 호텔이에요</div>|<div class="num">10.0</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">룸컨디션도 좋았고,<br/>층수가 높은 커넥팅룸에 묵어서 뷰도 괜찮았어요.<br/>커넥팅룸이었지만 소음 없었구요^^<br/>이그제큐티브 라운지에서 조식,티브레이크,해피아워 다 이용했는데 맛 좋았어요 ㅎㅎ<br/>아이도 입장 가능하대서 담엔 아이랑 함께 오려구요.<br/>룸도 마루바닥이라 아이 동반하기 좋은거 같아요.<br/>담에 또 오려구요</div>|<div class="num">10.0</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">너무나 조용하게 지내고 갑니다</div>|<div class="num">10.0</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">2년 반 전에 그랜드머큐어 용산을 이용하고 그 이후로는<br/>노보텔 스위트만 계속 이용하다가 다시 오랜만에 이용을 해봤습니다.      <br/>2개월 마다 서울로 호캉스를 가는데 드래곤시티가 용산역 바로 옆이라 아주 가깝고 아이파크몰과 이마트가 있어서 너무 편해서 드래곤시티만 찾게 되더라고요.   <br/>확실히 그랜드머큐어가 노보텔스위트보다 서비스가 더 좋고 복잡하지도 않고 편합니다.<br/>체크인할 때 여성분께서 도와주셨었는데 너무 친절하셔서 그 하루의 기분이 너무 좋았습니다.<br/>체크아웃 할 때도 너무 잘 도와주시고 우대를 받는 듯한 느낌이 많이 들어서 부담스럽기는 했지만 너무 좋았습니다.</div>|<div class="num">9.3</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">조식이 매우맛있습니다<br/>해피아워는  많이아쉽네요 메인이없어요</div>|<div class="num">10.0</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">가족끼리 서울 여행을 계획하며 무조건 투룸을 사용하고 싶어서 우연히 발견한 호텔인데 직접 사용해보니 매우 만족합니다. 저희 가족들도 다 만족하네요. 객실의 청결 상태는 아주 좋았습니다. 대신 티비가 문제인지 리모콘이 문제인지 티비 방송을 연결하는데 조금 오류가 있었지만 어찌하다보니 해결됐습니다. 조식도 다른 호텔들에 비해서 나름 다양하고 맛도 적당했습니다. 가격이 조금 비싸긴 했어도 다시 서울 갈 기회가 있다면 또 방문할 생각이 있습니다.</div>|<div class="num">10.0</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">EFL 이그제큐티브 클럽라운지 패키지 추가해서 잘 다녀왔습니다. 5성 호텔 호캉스는 처음이어서, 체크인 때부터 긴장했는데 호텔 직원분들이 정말 친절히 응대해주셔서 참 좋았고 짐도 체크인하는 동안 잘 챙겨주셨어요. 기념일이라 큰맘먹고 예약한건데, 돈 조금더 내고 노보텔이 아닌 그랜드 머큐어에서 숙박한 건 신의 한수였어요. 북적이지않고 조용하게 단둘의 휴양을 즐길 수 있었고 호텔 곳곳이 고급스러우며, 조식과 티브레이크, 해피아워의 메뉴가 모두 만족스러웠습니다. 특히 해피아워를 기대하고 갔는데 위스키 등 주류 메뉴도 참 좋았구요. 티브레이크는 체크인 직후 1번, 다음날 체크아웃 직전 1번씩 총 2회를 즐길 수 있는 장점이 있으니 참고하셔서 다녀오시면 좋겠습니다.</div>|<div class="num">10.0</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">연인과 가기 참좋은 숙소같아요. 고층배정 받아서 시티뷰가 넘 이쁩니다. 밤엔 더더 이뻐요. 라운지는 뷰가 꽝이네요. 에프터눈티는 쿠키?빵?  3~4종류 끝! 커피는 직접 가져다주시는데 맛있었어요. 칵테일아워는 그래도 음식 가짓수가 그럭저럭 있어서 맛있게 즐겼습니다. 아 사람도 별로없었음 일요일기준. 로비도 한산 주차장도~ 룸 컨디션 좋구요. 깨끗하고 넓고 좋네요. 서비스도 좋습니다. 재밌게 잘 다녕ㆍ닸네요</div>|<div class="num">10.0</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">전체적으로 만족스러운 곳이었습니다. 노보텔만 가봤었고 머큐어는 첫방문인데 아무래도 노보텔보다는 훨씬 깔끔하고 시설도 잘되어있고 무엇보다 직원분들이 너무 친절하여 기분좋았습니다. 노보텔이나 이비스 데스크 직원들과는 비교가 될만큼 엄청 친절하시네요. <br/>조식도 종류는 몇개 안되지만 깔끔하고 음식 퀄리티도 이만하면 괜찮은듯 싶습니다. <br/>잘쉬다 왔어요. 담에 또 한번 가야죵 ㅎㅎ</div>|<div class="num">9.3</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">남자친구랑 놀러갔는데 <br/>갔던 호텔중 조식이 제일 맛있었어요<br/>룸 컨디션도 좋고 깔끔하고 주방도 딸려있어 간단하게 해먹을수 있고 야경도 너무 좋았어요<br/>다음에 또 방문할 예정이에요</div>|<div class="num">10.0</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">서비스도 좋고 괜찮았습니다.<br/><br/>어메니티도 좋았구요. 취향이신분들이라면 더 만족스러워 하실거 같습니다. <br/><br/>다만 침대 길이가 다른 호텔에 비해서 상대적으로 짧아서 키가 크신 남성분이 이용하신다면 좁다고 느끼실 수 있으실 거 같습니다. <br/><br/>평일에 방문, 주차이용해서 주차는 여유롭게 할 수 있었습니다. <br/><br/>카드키가 많이 낡았습니다.<br/>이점은 개선되면 좋을거 같습니다.</div>|<div class="num">10.0</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">주변시설좋고 편의성좋고 숙소 맘에들어요</div>|<div class="num">10.0</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">남산이 보이는 시티 뷰가 좋은 룸을 배정 받았어요.<br/>깔끔하고 청결은 기본이고요. 직원 분들 역시 최고의 서비스를 제공 해주셨네요. 간단한 요리가 가능해 머무르는 동안 편하게 잘 쉬었다 갑니다.<br/>탁구장, 휘트니스, 수영장 등 편의시설이 갖춰져있어 여가 시간을 보낼 수 있어 좋았습니다.<br/>조식을 맞있게 먹었네요. 다양한 음식들이 준비되어 있어 골라 먹는 재미가 있는 조식이었습니다.</div>|<div class="num">10.0</div>
그랜드 머큐어 앰배서더 호텔앤레지던스 용산|<div class="txt">남산이 보이는 시티 뷰가 좋은 룸을 배정 받았어요.<br/>깔끔하고 청결은 기본이고요. 직원 분들 역시 최고의 서비스를 제공 해주셨네요. 간단한 요리가 가능해 머무르는 동안 편하게 잘 쉬었다 갑니다.<br/>탁구장, 휘트니스, 수영장 등 편의시설이 갖춰져있어 여가 시간을 보낼 수 있어 좋았습니다.<br/>조식을 맞있게 먹었네요. 다양한 음식들이 준비되어 있어 골라 먹는 재미가 있는 조식이었습니다.</div>|<div class="num">10.0</div>
