name|reviews|star
코트야드 메리어트 서울 보타닉 파크|<div class="txt">인천쪽 접근성을 고려해서 잡은 숙소였어요<br/>호텔이 크진 않지만 바로 앞 서울식물원과 가깝고 호텔에서 머물러도 편했네요<br/>지하철역도 가깝고 주변에 먹을 곳도 많아요<br/>마곡나루 주변을 찬찬히 둘러보기도 좋아요 <br/>오피스지역이라 주말에는 한산했네요<br/>낮에는 더워서 저녁에 식물원 잠깐 걷기도 좋았어요<br/>조식도 오래 기다리지 않아도 되었고 빵이랑 쌀국수랑 다 맛있었어요 <br/>체크아웃이 12시인것도 좋았어요</div>|<div class="num">10.0</div>
코트야드 메리어트 서울 보타닉 파크|<div class="txt">평점도 좋고 후기보고 방문했는데 기대이상으로 너무 마음에 들었어요. 일단 로비부터 직원분들의 서비스가 마음에 들었고, 초코파이도 서비스로 주셨어요^^<br/>키를받고 저희는 5층이였고 복도부터 청결함이 느껴졌어요.<br/>방안들어왔고 룸컨디션이 정말 최상이였습니다.<br/>시티뷰랑 파크뷰 고민했는데, 초록초록 파크뷰가 더 좋을거같아서 선택했는데 후회안할만큼 마음에 들었어요. 뷰가~~ <br/>다음에 또 숙박하고싶네요.^^</div>|<div class="num">10.0</div>
코트야드 메리어트 서울 보타닉 파크|<div class="txt">코트야드 메리어트 타임스퀘어를 만족스럽게 이용해서<br/>보타닉 파크는 후기 안보고 그냥 예약하고 다녀왔습니당<br/>개인적으로는 타임스퀘어보다 보타닉 파크가 더 편안하고 좋았던 것 같아요!🥹<br/>앞에 공원도 있어서 산책하기도 편하고,<br/>객실 내 우드 우드한 분위기도 제스탈입니다 🫶🏻<br/>무엇보다 바닥이 카펫이 아닌 일반 마루바닥?? 이라<br/>먼지가 덜 날려서 좋았어용 ㅠㅠ👍🏻<br/>체크인할때도 맞이해주셨던 여자 직원분이 너무 친절하셔서 소소한 힐링이 되었습니다!^^<br/>체크아웃할때도 한번 더 제대로 주차정산 되었는지<br/>체크해주시는 부분도 좋았어요😊😊<br/>마곡나루역 3번출구에서 도보로도 가까워서<br/>대중교통 이용하시는 분들도 편하게 방문 가능할 거 같아요! <br/>근처에 음식점도 엄청 많아서 배달 메뉴 고르는데도 한참 걸렸답니당ㅋㅋㅋㅋㅋㅋ<br/>조식은 패키지로 껴있을 경우에는 추천입니당^^<br/>처음 온 보타닉파크였는데 넘 넘 만족스러워서<br/>다음에 또 방문하도록 할게요!!!</div>|<div class="num">10.0</div>
코트야드 메리어트 서울 보타닉 파크|<div class="txt">깨끗하고 주변 상권도 좋아요<br/>직원분도 친절하세요<br/>다만 복도 소음은 차단이 안되는게 아쉬워요</div>|<div class="num">10.0</div>
코트야드 메리어트 서울 보타닉 파크|<div class="txt">20년도부터 거의 매년 아이랑 호캉스로 일년에 한 두번은 방문하고 있어요. 방 크기도 작은 편 아니고 가성비 좋아요. 앞이 트여서 뷰도 시원하구요. 인룸다이닝도 가격 합리적인 편이고 로봇이 배달해주는 모바일편의점도 편해서 정말 방에서 꼼짝 않고 호캉스 가능해요.조식부페 안 내려가도 룸다이닝 양도 꽤 많은 편이라 오히려 더 나은 것 같아요. 그런데 벌써 몇년째 이용하다보니 메뉴 변화가 너무 없다는 단점이.. 맛이 없진 않은데 맛이 있지도 않은.. ㅋ 청소 상태 괜찮은데 올해는 화장실에 먼지랑 머리카락 있었어요. 욕조 추가비용 11,000입니다.</div>|<div class="num">9.0</div>
코트야드 메리어트 서울 보타닉 파크|<div class="txt">위치 좋고 전망도 괜찮아요</div>|<div class="num">10.0</div>
코트야드 메리어트 서울 보타닉 파크|<div class="txt">파크뷰에 묵었는데 초록초록한 풍경이 내려다 보여서 좋았고 빈야드15도 편히 이용할 수 있어서 좋았어요</div>|<div class="num">10.0</div>
코트야드 메리어트 서울 보타닉 파크|<div class="txt">깨끗하고 깔끔한 인테리어 만족입니다</div>|<div class="num">9.0</div>
코트야드 메리어트 서울 보타닉 파크|<div class="txt">4성급의 직원분들이 존재하지만 시스템은 실질 3성보다 조금 위인정도. 장단점 요약해서 쓴 리뷰가 도움이 되었으면 하며, 주말 1박 지방에서 올라와 파크룸뷰 묵었습니다(조식포함)<br/><br/>개선점<br/>- 조식 X (사진참고) <br/>- 빨리빨리 달래기식 서비스응대만 많지 직원분들간 통일성 없음 (매뉴얼 문제)<br/>- 프론트가 협소해서 일처리가 늦어요 (무조건 줄서서 체크인하셔야함) <br/>- 선택한 객실 제 시간에 체크인 못받을 확률높습니다. 뷰 바꿨고요. 그에 따른 서비스 제공받았지만 3시 체크인인데 4시에도 방이 미준비됐었습니다. 인력이 절실히 필요한 호텔입니다. (해당 사항은 메리어트쪽에도 개선부탁드렸습니다.)<br/><br/>장점<br/>- 친절하신 직원분들 (직원분들이 갈려서 운영되는 느낌 심합니다.)<br/>- 깨끗한 복도, 방 컨디션<br/>- 쾌적하게 유지되는 룸컨디션 <br/><br/>조식사진은 참고로 올려둡니다. 리뷰가 좋은 호텔인것은 직원분들의 서비스정신이라 생각하며 개인적으로 달래주기식 서비스만 잘운영된다하여 좋은호텔이라 할순없겠습니다. 차후 개선을 바랍니다.</div>|<div class="num">5.6</div>
코트야드 메리어트 서울 보타닉 파크|<div class="txt">정말 좋은 숙소였어요. 일단 프론트 직원분부터 너무 친절하시고 객실 들어봐서도 확인 전화까지 해주시고, 처음 방문이라고 주신 와인도 너무 잘 마셨습니다. 보타닉가든이라 그런지 인테리어도 나무재질로 된 것이 특징이었는데 편안한 느낌을 주더라구요. 객실 자체도 깨끗하고, 파크뷰라 넓은 공원 보이는 것도 좋았어요. 아침에 조식도 다양하게 준비되어있어 맛있게 먹었어요.</div>|<div class="num">10.0</div>
